NUMBER CONVERSION REPORT
======================================================================

Index   Decimal        Last 2    Binary         Hex       
123     1659318        18        10010          12        
124     1834855        55        110111         37        
125     3386751        51        110011         33        
126     3000166        66        1000010        42        
127     9135626        26        11010          1A        
128     4869260        60        111100         3C        
129     76550          50        110010         32        
130     432271         71        1000111        47        
131     251028         28        11100          1C        
132     7016218        18        10010          12        
133     6896099        99        1100011        63        
134     8386350        50        110010         32        
135     8637147        47        101111         2F        
136     936705         5         101            5         
137     6602175        75        1001011        4B        
138     1429181        81        1010001        51        
139     8395138        38        100110         26        
140     6132809        9         1001           9         
141     5936917        17        10001          11        
142     2878578        78        1001110        4E        
143     158885         85        1010101        55        
144     2441957        57        111001         39        
145     5914794        94        1011110        5E        
146     3999272        72        1001000        48        
147     3142897        97        1100001        61        
148     8151159        59        111011         3B        
149     5147564        64        1000000        40        
150     4595374        74        1001010        4A        
151     4234951        51        110011         33        
152     7880605        5         101            5         
153     7009921        21        10101          15        
154     695580         80        1010000        50        
155     7370443        43        101011         2B        
156     7921729        29        11101          1D        
157     8419625        25        11001          19        
158     7024080        80        1010000        50        
159     3905988        88        1011000        58        
160     1767599        99        1100011        63        
161     935136         36        100100         24        
162     635788         88        1011000        58        
163     8807719        19        10011          13        
164     317375         75        1001011        4B        
165     9975410        10        1010           A         
166     2727968        68        1000100        44        
167     7444399        99        1100011        63        
168     4065675        75        1001011        4B        
169     9925720        20        10100          14        
170     2293633        33        100001         21        
171     7734826        26        11010          1A        
172     1065463        63        111111         3F        
173     1105617        17        10001          11        
174     5325800        0         0              0         
175     3822527        27        11011          1B        
176     5503858        58        111010         3A        
177     9214055        55        110111         37        
178     6521769        69        1000101        45        
179     7923796        96        1100000        60        
180     5250236        36        100100         24        
181     1083154        54        110110         36        
182     472141         41        101001         29        
183     9597454        54        110110         36        
184     1581679        79        1001111        4F        
185     656751         51        110011         33        
186     345464         64        1000000        40        
187     4281218        18        10010          12        
188     6558883        83        1010011        53        
189     3852986        86        1010110        56        
190     6263187        87        1010111        57        
191     5828308        8         1000           8         
192     8058535        35        100011         23        
193     9035191        91        1011011        5B        
194     7922103        3         11             3         
195     9366003        3         11             3         
196     4555717        17        10001          11        
197     3526753        53        110101         35        
198     3176815        15        1111           F         
199     858440         40        101000         28        
200     2250854        54        110110         36        

Total numbers processed: 200
Elapsed Time: 0.000656 seconds
