NUMBER CONVERSION REPORT
======================================================================

Index   Decimal        Last 2    Binary         Hex       
69      3358744        44        101100         2C        
70      4965249        49        110001         31        
71      6621475        75        1001011        4B        
72      3336153        53        110101         35        
73      1044743        43        101011         2B        
74      6201477        77        1001101        4D        
75      6297100        0         0              0         
76      885678         78        1001110        4E        
77      8546891        91        1011011        5B        
78      6683923        23        10111          17        
79      7064472        72        1001000        48        
80      3430021        21        10101          15        
81      9764122        22        10110          16        
82      9958605        5         101            5         
83      1006022        22        10110          16        
84      5276496        96        1100000        60        
85      8876232        32        100000         20        
86      3364648        48        110000         30        
87      3539979        79        1001111        4F        
88      3003857        57        111001         39        
89      4481634        34        100010         22        
90      9035781        81        1010001        51        
91      3767021        21        10101          15        
92      4993901        1         1              1         
93      8698377        77        1001101        4D        
94      4626501        1         1              1         
95      1755352        52        110100         34        
96      2755340        40        101000         28        
97      5150616        16        10000          10        
98      9345169        69        1000101        45        
99      848948         48        110000         30        
100     2708748        48        110000         30        
101     8372451        51        110011         33        
102     3523015        15        1111           F         
103     2624283        83        1010011        53        
104     8795348        48        110000         30        
105     2318100        0         0              0         
106     4750861        61        111101         3D        
107     3770597        97        1100001        61        
108     1053352        52        110100         34        
109     833307         7         111            7         
110     4632526        26        11010          1A        
111     2212917        17        10001          11        
112     5053189        89        1011001        59        
113     412218         18        10010          12        
114     4901564        64        1000000        40        
115     5094606        6         110            6         
116     8070285        85        1010101        55        
117     6847905        5         101            5         
118     4311824        24        11000          18        
119     3009421        21        10101          15        
120     1629105        5         101            5         
121     8431899        99        1100011        63        
122     7582456        56        111000         38        
123     7332147        47        101111         2F        
124     314183         83        1010011        53        
125     7632568        68        1000100        44        
126     8161327        27        11011          1B        
127     6961087        87        1010111        57        
128     6898282        82        1010010        52        
129     9749303        3         11             3         
130     4427419        19        10011          13        
131     4368829        29        11101          1D        
132     6439318        18        10010          12        
133     6473603        3         11             3         
134     6446249        49        110001         31        
135     9818836        36        100100         24        
136     9438069        69        1000101        45        
137     2809499        99        1100011        63        
138     3460304        4         100            4         
139     8430904        4         100            4         
140     9774785        85        1010101        55        
141     9560603        3         11             3         
142     3440732        32        100000         20        
143     7053263        63        111111         3F        
144     287398         98        1100010        62        
145     4043644        44        101100         2C        
146     2943820        20        10100          14        
147     9030962        62        111110         3E        
148     7537540        40        101000         28        
149     7203657        57        111001         39        
150     5639400        0         0              0         
151     9448142        42        101010         2A        
152     9954392        92        1011100        5C        
153     2856859        59        111011         3B        
154     1332118        18        10010          12        
155     6984725        25        11001          19        
156     1925762        62        111110         3E        
157     2138171        71        1000111        47        
158     347447         47        101111         2F        
159     8839390        90        1011010        5A        
160     3951652        52        110100         34        
161     3755102        2         10             2         
162     6867687        87        1010111        57        
163     4383175        75        1001011        4B        
164     7125508        8         1000           8         
165     7799732        32        100000         20        
166     8784156        56        111000         38        
167     1372809        9         1001           9         
168     1327984        84        1010100        54        
169     9205087        87        1010111        57        
170     6524241        41        101001         29        
171     9316072        72        1001000        48        
172     127744         44        101100         2C        
173     8388820        20        10100          14        
174     6883557        57        111001         39        
175     2291239        39        100111         27        
176     3101270        70        1000110        46        
177     1382825        25        11001          19        
178     9873376        76        1001100        4C        
179     6873500        0         0              0         
180     8185634        34        100010         22        
181     2464786        86        1010110        56        
182     8387154        54        110110         36        
183     5581444        44        101100         2C        
184     8097911        11        1011           B         
185     8882527        27        11011          1B        
186     8941444        44        101100         2C        
187     4942703        3         11             3         
188     101144         44        101100         2C        
189     7471180        80        1010000        50        
190     1932131        31        11111          1F        
191     8052752        52        110100         34        
192     6359493        93        1011101        5D        
193     1967646        46        101110         2E        
194     6575052        52        110100         34        
195     2323342        42        101010         2A        
196     6735760        60        111100         3C        
197     8895858        58        111010         3A        
198     4238091        91        1011011        5B        
199     7093069        69        1000101        45        
200     39             39        100111         27        

Total numbers processed: 200
Elapsed Time: 0.000764 seconds
